From,Amount,
0xdaf780714Ce4931f98129060445fC6Eb4Ab73bB1,73600,
0xE7483E7C7D04Fda9f3f3f502D31Dedc555Cf91A1,349200,
0x3ce3c8eb1CfD121C6A0469cC65C4e25b92877f84,73600,
0x9b5CAFcdC6a68dA9fADF5Eb5be65B4b934E00439,92600,
0x2882a34b62878390D10267592372cCF03eD3c8E4,73600,
0x25f312C060d03ac544183A8d0Ff8A788A4B00A32,294400,
0xA7872a3737A7EC62D568f3442F46453dE70Df8F1,258800,
0x5280231E1f18aAbe94c8BF9c42F39329d04245B0,92600,
0x0957928d90b1f095a926159CC1A57AcdAF8e0ccE,73600,
0xB98368664bCFd4D69eD7452b36AF15D11320A73C,73600,
0x30059eab60D2A2b388E5e3611a2E654ACB7f36CE,220800,
0xc15Ad5b8Ee60EfE676C6fc673837686ea626Cf6B,665000,
0x32C7f9ba51cB8B88B98514BD42fD1711Bb45c831,387200,
0x3AA6605d87f611E43aD0a64740d6BeF9b80FCD2C,147200,
0x75aDE58a3486DcCF5Dd499fcCB8AFdB7a81164bE,185200,
0xFac7d415BEfb14662ABB591F2F8d9A92396A4dea,73600,
0x65A323C2b936449AAaf62F41a62bb7219139D49F,73600,
0x1744C331d1E2dD698D7aB8783dd2E1477B56D6B8,73600,
0xb476a4f2c261C28e944e385Ee11505c71Ce22D7F,92600,
0x662546Dcc9f158a9ABb4d1c3B369B07bC67969D6,202000,
0x8b11ad24F4FF9a07A3a96FB372c46783C1bb3aD6,92600,
0xfadAD5030d8d240832f3012487eA9C81Ae2066FE,572400,
0x65d1a22821Ab771e895E609b3868D09685c6E987,643800,
0xdE465586B0d0160f338F3165D2984CF3176fd953,463000,
0x5958b150B7444e62B6437f33A91fC6a38961426b,681800,
0x468e22592CdbB227ed0fb384e3714bDfe444e932,313400,
0x14E2d258E6Bb4792ff2D8Ffb410fC08a8F7dbABb,147200,
0x7A2496eefee40c92E27CD70d32342b00D92adD2B,73600,
0xcA6776A2C0Aaba7bda54f317ff692392810b1D93,258800,
0xb9850F450a14836163341869aF39A23e4b1008FB,534200,
0xA3EC995C931424D2590D97a815f4cfa4D4d3E477,73600,
0xf131391C94cf866b04A545243d28bDE6A167849E,220800,
0x909669979aF8bDae6e54dE9De64fE2b40A2dBc9c,147200,
0x7DF96319573a6C4fb4c42B56C4E6fc7bF2113186,73600,
0xcE66ca307994E1D1f19755d831252889e5858510,73600,
0x8361D997F5396A41057e67711925A035F69401cD,92600,
0x8b65c4d6BddDEaD76f2A4a73c3812c983cf5d287,900600,
0xf85f039Ca2853d8e4855157e9CB5c34bdcD1b84A,73600,
0x09574673Bb8F3b470DA51bB11C9693f95F2647f9,665000,
0xC13D5024c2Ee14C5F80847afD09275f8b550a135,258800,
0xbD055Fd1829aC76b02D5E9139BEf0b965e2115F7,73600,
0xbe7763503E09A7235cfB90bA5c8c7Ef55A73143E,92600,
0x1bc76C398f87EF4da991E3cBE6ab10ccE44c7AE6,681800,
0x099e4FA950c255c5a4bC3AC3360d65e0339BeA4e,572400,
0xD2aBD7a3333395a1ed7E54C67eDF43ef934033A1,73600,
0x54BE3a794282C030b15E43aE2bB182E14c409C5e,4160600,
0x7939941620DCEf5B8c50414841311B692f37b267,92600,
0xEa485A2C166A7376442d1582DFbA7daA77d48601,791200,
0x7111d3AEAD13f2D10E7E1a14a81c79099D6636d4,73600,
0xEB2b89F1dEA00d1120B39189f2a1e3744B647bb4,294400,
0x196704AD5e0F11B636Ef6f4b6B1196Eb825Fe3fB,73600,
0x3fEe4c2a42B6AFAb8B8F32F13A0b69455e7F040a,368000,
0x392e3Ac552B2D659dB1E6503649C91a11579d2c5,73600,
0xBB32ce5DeEec8ab0E6dacF02C3D13bE8F5c645F7,73600,
0x6674995a2fd0B2150664cdB63FE66B2302E1d3b6,73600,
0xc657030a57df9635F127536893be9B17BCBD6A96,976400,
0xAF715cA76565B82CedCf48D7780EfCc6A50c0543,496400,
0xbF923438A135a99712D4c4b3DB413a0817a90f99,73600,
0x2Ba0CF3a45D78fb39cD2a75516c3338D5F36DD37,92600,
0x5a0dC15c9EceCeded97c7B1121461EDc623a0349,166200,
0x514d9b71D912cdAa92a66594BfD23753Bca76E4B,73600,
0xFF07d48929F1C7f1fb9bf939aE25c396ca9F9C39,73600,
0x0B9c83dA9E14596D565759e78fba9Cb9A5792034,202000,
0x275523fd59BA3598E01710DDB18A3312088BDD30,73600,
0xd161eA20c05DdF26D5c190CF320094445d6903c9,92600,
0x57F58EC5c8939E6a10201Ffcc262c52A0d6AAA89,73600,
0xDE6C6fcEcbBCC18dbEdDaea0aa76D3c52F38Cc5F,332400,
0xf46F8513a2E67318414D6e8c50851d3882C1C0e1,92600,
0x2FBe62c640A00D2b2E7585e10030be63D4061b3E,73600,
0xA6bA619719483795F73d1921De104f45cD9fC65C,73600,
0x50B90bD8a011f7bD2c5E1468394a73fF503D6b8D,463000,
0x55762148a7bc615cF90e62C1E0e6d78406B02D0E,681800,
0x95EcB2cd3EB2Da92E25a1654889B61C1c3478222,572400,
0xfe96D1eD2A4C9E60e0e3030609aF0361A515169e,73600,
0xB40A60d5caAD9237c6A600eE5719608819e7f7bb,572400,
0xAC94b95B7764E356e4AAD94C52bC62E9641E5dCC,73600,
0x0a82BdC0FbAA0f11bDe1eC3aA8631Cf9002F85d2,73600,
0xD245d7acEe95Ba343707574D083fD4311E8772DE,73600,
0xA534EEeA097D3Cfabbc155bAdAA7e09aEe07E343,73600,
0xDe902a53278b301b9AD5B1010B9E641Bc90E2010,277800,
0x26aF0251634FD26Ac0589711e99F3a200ceC8d0a,553400,
0xd2525B4EdD22532473Bdc9f61EF49Cf7619F61E2,73600,
0xf638c63f4Cf7b25c88F1B0bb71BadfF8A5f01c53,73600,
0x765C5B40BB323f047d1bEDC63118231e9E319F36,92600,
0xc35A8e70B0530d2bff51daEdBCF752d8DAfDe91b,92600,
0xDB293492e1c54AAD00B35377b08F5E50c2C512C8,572400,
0x4f166Ff2f96C529c086bA3EF79E4aDC0CECa6323,73600,
0xe5f1F2DADFFE4BD11976Cc924Ff559Fe1D8963dB,147200,
0x16Db245839F7066932c3DB92c83Afac4d2447f20,73600,
0xE5EcB048145d4D1b6CDc05eF899BcE09d24773c2,73600,
0x1962443725CEAd857a6C82D838868b61138f979c,572400,
0x1a55a5aAa3b462e8273BEE6bd813fea4744f651a,73600,
0x7D82793e39aC007010787A56f60eBC17592818b3,73600,
0xA13F26E15607a988fC3003Fa2860ffe0474b68D2,368000,
0x3524b2d9aF57D3Cf852A5f547152e061Aa011139,73600,
0x441e8044F9e7370046A3E1031c30fE3fd6a51cCF,202000,
0xd555807d8801D944ccc5386EEf7d72c48e73e5EE,92600,
0xE0276B19467e8A37EACFc93CF18d614910B06f6e,73600,
0x5752Ab17059A9E98eA8Ff5E324eBD27B02C07558,73600,
0x5d5d9Dc0f443D8d498b329C7BbA51BA3B96182d8,73600,
0xb76acB6306835080c235CD4434b857f2eD8CC61E,515200,
0xF5adBEb7BEddfA9eDE34DEA7073EC8cbF1018131,809800,
0xCF3c939C89a08C02F0458B43D4bdEA91bf4da428,73600,
0x70DC64B0367a35cfa8ea3B39B0A853EB200230b6,202000,
0x038958e6F7283974b3828aE81A9617c8b2fcDe07,220800,
0xC35633707dD8d11B5B87e781B0bDF8Edc7e97a88,73600,
0xBB0802A1F63f2c34760Cf601B3F36c23f9473F0e,791200,
0x8bb7E060AbF39cf3b8b7c969361386bEDD29b46F,73600,
0xC396A709431DE3DC5E01e3d1e439AC5a440fF715,681800,
0x4dea563a60191c7231C8C557623B320a36EbaE0c,92600,
0xa1349e57B677BCe6BDa5Bb3C8a40231084350e18,463000,
0x8888e0a2d239Ac0dA66854c670F3e9c6d48C6AEE,92600,
0x48CE7b69d8E88A537186aA374dEc2Fef02E1a56e,736400,
0xE3D01cb093aF4e018c7d298E965b338b5ea7a24d,92600,
0xd34dBeac0FFa260B1AcDFCdD83d9f523bBC5d742,572400,
0xE6FEf18AC7da18C593e3f6A06Af8Bf565aD612e1,73600,
0x2a045E422E2F68c81AB57be4877bB8D081971F9C,791200,
0x2CEC8518d4144e0566Dc5f99e90e3f583d56CB1b,92600,
0xf71bC4178F0E2Fa0F66933A750C231Fb433c4e2B,73600,
0xf2169cA68C8d312073B5032E1c54F3018921Cd95,92600,
0x424C79EA73439d4c82d5197Bd000ed1796206a84,73600,
0xB0c4278D2e31Ae5ae40F4541901dCFB0C81632D5,791200,
0x905C0d19A2a08148D4E851d63e0dff760A2A3dBF,572400,
0x656d33b21a5229220AEECDcE0157cF6B72C786d7,665000,
0x06B53D90c718F8A0BfC045dcf6c82ed38e0B2c5c,572400,
0x40E5bab1040ee5136e3354Dde3D5244ecaF60675,92600,
0xb568D09C877cFe76Ac4613abf26E9CE0651feA31,463000,
0xb7092839d0cEAC00a25FF3DDA57fC79265253953,774400,
0x32DCf951FB54F15e8eC3aa269856Dc0B4A8F1369,73600,
0x1771dFa55CAa3f65d5f37c6C1188123d86635f22,73600,
0xf2aAC76a8DC431201bF61528d99a30cFD37217dD,92600,
0x19EA274AfFBB1c0FF518396afe428042c7d6Ab44,73600,
0xb59341c34Fb731326dfe9218E2Ac9D459f664c53,73600,
0xe71AF4583C064ffbFA2e7a91E1c2498Bf3d03464,147200,
0xDAcEc865A86a987F11E982F7447E2a74Ae4d2eCa,681800,
0xd9f81dEbc86668D6C2fE6cd7Cb8051E96b974305,73600,
0x45224DBE6Cf5ae6D0a3021bF028508674bB28189,147200,
0xcbfc848D35429C89316BDfe43d8B0a4a22446FCd,73600,
0xE47361c4Ea2aD91a6a77055504469FcbA5CaB3a8,147200,
0xbCd54b58d5bf5dea6E200f64Bc510B80593cE33E,239800,
0x9373a27e3A0f0f0067a09C4718717660Dab9e51C,736000,
0x0C92d87ef3900c29CD115ad009F7a0CbA2B41289,73600,
0x76ccEB9e8d0eBDCC1185750C3AF435dEc381b8Bb,220800,
0x7cF3f6E1F659109D12956BD8035af983b4F19C42,73600,
0xAF8324Ab53229651E4C8Dea252a554AacA6f9577,92600,
0xc862256E06E6f7A564433bE48db08865eA23Cf3d,92600,
0x851aFc96731eaD1B5C1959B5BF63156E09379D13,73600,
0xFe1Ca5312796f7BEF15eEb0Aa3aA7b59098957A7,202000,
0x97c3aF4Dfd80B2eD78cCffb12d9142D89ec40195,294400,
0x3e57efEf507b4db7aCFa2eE79CeCA6B19e18D106,1052000,
0xAa5a776bC422F1Ce8E9A4548d9560223e462c922,147200,
0x5d944b6949FA153d93E29c882882086Cb0416994,73600,
0x67C371015A0ECC958e3F339652247661091Bf1D6,681800,
0xe53eE538B6aD601Fa384C00DEAc8D07FA6eeF3Ce,239800,
0xe173790a3192ad2D4F19aF8212Eb5AB45ECc8360,73600,
0xd5739eCb2e30DC40448daA927b096A16fF99E509,681800,
0x3f9E6fA60C7Caa7E1573108ce30994008686769d,572400,
0x79aBdeeDe24E4d1c781786CDf571298c16eb6E25,73600,
0xbA7d4E81A2D7533241ec734A3deAc29B60A1F64d,202000,
0x9afA4A79364A8fD38b9E499918196491C8bAFa71,1531800,
0x23A744F2Db0CedE529fF360c387a1eB818eC2d64,147200,
0xa774418f30c4633733e300710541A8C8B789711c,202000,
0x2f831Ff308955D0E8ceBF886D187356D11A73562,73600,
0xa3e7C26a404f03A75EAa541cB290f8E94d2F884E,681800,
0xaAA3b582Ff7c8855477846434Ed8Bb09451a9E6B,662400,
0xdF945f8e3b87d7C3e459fF67a093FEFed8aD3CC0,368000,
0x23898273bbEe4386255045EF5e2Cef8ED9d54381,387000,
0x7393B279cDcD0efaF76652b14Cc42d528cc068C0,220800,
0x37ea86A573aefF3C064f3A69bbbb17B399e130B0,92600,
0x919E6A9077965a4a24B9a58977EC380Ad94dCB90,92600,
0xa2da1b49191D3d26481842081a32B1E9C4577d7c,828800,
0xF6672E534b65FC67eaE1827C162905A1B89eAAA9,73600,
0xD644C1B56c3F8FAA7beB446C93dA2F190bFaeD9B,73600,
0xfec351c9861fA0fA4F5926f26C4dd3770A91c590,73600,
0xfaE77861c473158eF846B9b46AF55d5fA7e3bBbc,572400,
0x924152d5afa28AED60C82DD2f95C9e43EB8d4730,73600,
0x7950A1d35b18c97A8430dF3DdC73b86bb43B9954,572400,
0x033b0c58b0FcfF1C9C67B8E4ea3EFF25C6db7B13,73600,
0x14B74189FA5A795c715E4Ba9AE53623491BC8E17,73600,
0xae686A610DE74a02D427eaAc770ADDDb1900F3F1,73600,
0x48A5202607fCCe11DdFE377B7b8835Cc33059Ab5,73600,
0x5F8f85AC9B606b5163069D2f8F0D6D541DeC7F7a,73600,
0xc579DB7481d15a3B3B156E1CA89cD1aE8360C3AF,73600,
0xCF206Be024973F24AF17318172F36C306Ab0123C,73600,
0xCD9Caa9f6fb30aA4c09Db1DDf32fbAEDf9662D2F,479600,
0x849d9E6f62E5e5758B9B3844135FA722Eab20002,73600,
0x18672EC83ef25353a040D7203853839F3C3081fD,73600,
0x2494eAf006B89d6fd1593Fbc34016c5F9575708d,73600,
0xeEa99FA8883b25479f2CCf3320182654A3387619,73600,
0x21Ae2867658Cb92fa8f2aC931a66019b782f5c12,883800,
0xa977dA33878A09BBB94639f9745F61d6565A8929,73600,
0x1eA13d9daf04CaDC2Ab318c12E7D67FbDF05F7f0,463000,
0x9A4e43724471a994D424C2765705398062142f04,202000,
0xBC2C77d7D4742a7209503E0820De27117B843b1f,73600,
0x71A5C09a6Ea18eed030c6049C89bCAb3eE50AEe2,681800,
0x655264617F4C4F7aB3a6829E6757c3C207760dd8,73600,
0x8A19e4719F0A4b2c33D1f7F986F472Ff5AeA2DDd,370400,
0xa060b6Fa587F673Aa06E69E17AcFC72226c796d3,73600,
0xC5AdfB6f78E04F870b748B60a1ab010251484707,239800,
